source,target
GIVINOSTAT,95822412
GIVINOSTAT,46913810
GIVINOSTAT,23756669
GIVINOSTAT,66629388
95822412,41227216
95822412,36687537
46913810,10872248
46913810,30868105
46913810,60992979
23756669,71662963
23756669,84093639
66629388,19335534
66629388,41244663
41227216,31831063
41227216,96977837
41227216,42857966
36687537,53524491
36687537,63843426
10872248,38538251
10872248,45551614
10872248,67503414
30868105,78387461
30868105,30514014
60992979,89978790
60992979,11540956
60992979,24972279
71662963,45351479
71662963,95758349
84093639,31682744
84093639,75579548
84093639,42138745
19335534,19289546
19335534,83793389
19335534,82383095
41244663,79467853
41244663,18593410
41244663,39557077
31831063,14216175
31831063,99788677
96977837,64634663
96977837,65177213
96977837,55540424
42857966,28814949
42857966,69476001
42857966,11980765
53524491,38688676
53524491,62401521
53524491,98834863
63843426,87736262
63843426,88406989
38538251,34941004
38538251,86460539
45551614,44999379
45551614,27566185
45551614,11250299
67503414,77898694
67503414,48250360
78387461,99038526
78387461,84252420
78387461,37326368
30514014,22388090
30514014,27558317
89978790,85283645
89978790,88183110
89978790,58942697
11540956,57469942
11540956,31810617
24972279,65259205
24972279,61343880
24972279,56930359
45351479,54058573
45351479,63643924
45351479,45059710
95758349,52101056
95758349,35511941
95758349,67887757
31682744,78064830
31682744,84411983
31682744,50392808
75579548,87844239
75579548,38682516
75579548,99100953
42138745,36726767
42138745,71124923
19289546,42747037
19289546,33607110
19289546,43446826
83793389,69401199
83793389,73709724
83793389,46855845
82383095,82498004
82383095,38716269
82383095,18357162
79467853,74019136
79467853,82238741
79467853,39450273
18593410,32151928
18593410,89442503
18593410,71968116
39557077,53868501
39557077,20993268
39557077,97260863
FT2020-001,99788677
FT2020-001,64634663
FT2020-001,65177213
FT2020-001,28814949
FT2020-001,62401521
FT2020-001,88406989
FT2020-001,34941004
FT2020-001,86460539
FT2020-001,44999379
FT2020-001,11250299
FT2020-001,77898694
FT2020-001,48250360
FT2020-001,99038526
FT2020-001,84252420
FT2020-001,85283645
FT2020-001,56930359
FT2020-001,54058573
FT2020-001,45059710
FT2020-001,52101056
FT2020-001,35511941
FT2020-001,67887757
FT2020-001,78064830
FT2020-001,84411983
FT2020-001,50392808
FT2020-001,36726767
FT2020-001,71124923
FT2020-001,42747037
FT2020-001,73709724
FT2020-001,46855845
FT2020-001,82498004
FT2020-001,38716269
FT2020-001,18357162
FT2020-001,74019136
FT2020-001,39450273
FT2020-001,71968116
FT2020-001,53868501
FT2020-001,20993268
FT2020-001,97260863
